"Reference","Qty","Footprint","MANUFACTURER","Description"
"FUD1,FUD2,FUD3,FUD4,FUD5,FUD6","6","combo_lock:FIDUCIAL_40MIL","-","-"
"J1,J2","2","7696","Keystone Electronics","7696 M3 Screw Terminal"
"M1,M2,M3,M4","4","combo_lock:MOUNTING_HOLE","-","Chassis Mounting Hole w/GND connection ability"
"R2,R3,R4,R5,R6","5","combo_lock:R0805","-","RESISTOR, American symbol"
"SW1,SW2,SW3,SW4","4","combo_lock:BUTTON_12.5MM","-","Generic Button"
"U1","1","combo_lock:POCKETBEAGLE","BeagleBoard.org","Pocket Beagle"
"U2,U3","2","Window:EP-TXS0-108E","EPLZON","TXSO108E Bidirectional Logic Shifter Breakout Board"
"U4","1","combo_lock:BUZZER_6.5MM","YUEXIN","Analog Buzzer"
"U5","1","Window:MPU6050 Breakout Board","AITRIP","MPU6050 Breakout Board"
"U6","1","Window:DCJACK_2MM_PTH","Adafruit","2.1mm DC Jack (preferably connected to a 5V2A supply)"
"X1","1","Window:2X08_SHROUDED","Adafruit","Shrouded 2x08 Male Header"
